0.01 -0.11859 0.00530882  1 0.0447661  0.252874 0.0113202  0.121795 0.00545229  0.0277778 0.00124351  0.234808 0.0105114 
0.11 0.177679 0.0736877  0.163426 0.052336  0.547148 0.0785909  0.795067 0.0794256  -0.0356984 0.0644899  0.620895 0.0620589 
0.21 0.19091 0.114759  0.239458 0.0771356  0.581506 0.128875  0.655814 0.109868  -0.00656351 0.0891587  0.556905 0.111025 
0.31 0.146609 0.110277  0.253952 0.102172  0.497103 0.111416  0.517122 0.105739  -0.00133732 0.117583  0.477558 0.102836 
0.41 -0.0239167 0.189825  0.00292308 0.210282  -0.00758785 0.370149  -0.0124583 0.352204  0.00776587 0.148889  -0.0157429 0.328694 
0.51 -0.0244327 0.153063  7.37174e-05 0.169394  -0.0115911 0.2349  0.0036923 0.227052  -0.0284603 0.148171  -0.00404215 0.222386 
0.61 0.000451934 0.138593  0.00772115 0.138622  0.00829721 0.164705  -0.00379488 0.16176  0.0118016 0.144327  -0.0136312 0.150075 
0.71 -5.76945e-05 0.136809  -0.0105192 0.12769  -0.00861084 0.148618  0.00434934 0.151344  0.00753176 0.126326  0.00518894 0.137921 
0.81 0.0145641 0.132138  0.0109167 0.125869  0.0209803 0.14071  0.012 0.130987  -0.0103532 0.13713  0.0182447 0.130618 
0.91 -0.00348077 0.118752  3.52619e-05 0.127776  -0.00166337 0.146904  -0.0195064 0.141411  -0.00428174 0.129138  -0.0129996 0.138125 
1.01 0.00852883 0.112544  0.0154295 0.115063  0.00683581 0.135731  0.00267947 0.134802  0.0148968 0.124773  -0.00353619 0.131453 
