0.0001 0.0569231 0.0039786  0.141795 0.00517034  0.420492 0.00999356  0.98 0.0222961  -0.140317 0.00415459  0.525573 0.0122156 
0.001 -0.100962 0.00225814  0.421474 0.0094268  0.263547 0.00589456  0.700321 0.0156636  -0.0138889 0.000310643  0.823067 0.0184089 
0.01 -0.0981495 0.0126048  0.418662 0.015548  0.266761 0.0153888  0.703133 0.0200345  -0.0145685 0.00438155  0.820779 0.0209517 
0.1 0.230024 0.112275  0.175665 0.0624943  0.610144 0.14183  0.74629 0.132231  -0.00981649 0.0801186  0.577255 0.101463 
0.2 -0.190861 0.107408  -0.245136 0.0798902  -0.581685 0.114143  -0.653522 0.0974031  -0.00154265 0.0936412  -0.563308 0.103003 
0.3 0.164392 0.118605  0.253697 0.0997652  0.510484 0.111782  0.534404 0.105357  0.00583233 0.115494  0.489386 0.104813 
0.4 -0.0149623 0.187594  -0.032734 0.217545  -0.054273 0.356281  -0.0596138 0.35291  -0.0026756 0.139348  -0.0547828 0.334569 
0.5 0.000117787 0.153292  0.000903855 0.158923  0.00078038 0.22035  0.00214102 0.216868  0.00734921 0.150104  0.00442764 0.214711 
0.6 0.0042468 0.141643  0.0121595 0.139689  0.0122229 0.174333  0.0120793 0.165734  -0.00689484 0.138669  0.00931686 0.165286 
0.7 -0.00185978 0.127294  -0.00773558 0.134477  -0.00916174 0.148277  -0.0115152 0.148516  0.000849209 0.136928  -0.00684745 0.150761 
0.8 -0.00492869 0.123895  -0.00158174 0.126819  0.00474836 0.137375  0.00727084 0.133008  -0.00279167 0.131365  0.0076079 0.137476 
0.9 -0.00730689 0.121966  -0.00475241 0.120834  -0.0107048 0.136321  -0.0086891 0.129519  0.00154664 0.127278  -0.00503659 0.131631 
1 0.00742227 0.120759  -0.000471156 0.121305  0.00688793 0.128059  0.0039968 0.125712  -0.000117066 0.127657  0.00224452 0.123977 
1.1 0.00166586 0.115625  0.00135897 0.113082  0.00194253 0.124902  -9.69536e-05 0.122549  0.00129563 0.129655  0.000686641 0.122159 
